name,focus,lead,description,scope,partners,priority_pop,additional_involvement,contact_name,contact_email,url
United Lift,Housing Equity,"Lift to Rise, Inland SoCal United Way ","United Lift is a rental assistance program for residents in Riverside County that is administered by the non-profits Inland SoCal United Way and Lift To Rise. The program initially launched in the summer of 2020 with funding by the CARES Act, as well as Community Development Block Grant funds. In February 2021, the Riverside County Board of Supervisors voted to allocate $57 million of more federal funds to launch a second round the program. Lift To Rise will handle outreach to households in the east end of Riverside County including the Coachella Valley cities, unincorporated communities, Blythe, Banning, and Beaumont. Inland SoCal United Way will cover the remaining west and southwestern portions of Riverside County. United Lift will track and report application data from the rental assistance program to contribute to the understanding of how rent burden impacts residents and communities in Riverside County.","Western Riverside County, San Bernardino County ","Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Local","Low-income residents, Renters","Economic relief, Housing assistance, Food assistance, Census outreach",Shirli Driz,sdriz@iscuw.org,https://unitedlift.org
Inland Empire Black Education Agenda,Education Equity,BLU Educational Foundation ,"The Inland Empire Black Education Agenda report is a collaborative effort led by BLU Educational Foundation, in partnership with the Center for Social Innovation at the University of California, Riverside and the Inland Empire Black Equity Initiative. This report uses a mixed methods approach with quantitative data analysis and in-depth qualitative interviews with Black students and their parents/guardians in the Inland Empire.",San Bernardino Counfty and Riverside County,"Academic / colleges or universities, Small businesses, Nonprofits - advocates / base builders, Nonprofits - service providers",Black communities,"Voter registration, Voter engagement, Census outreach",Dina Walker,dwalker@bluedfoundation.org,https://www.bluedfoundation.org/black-ed-agenda
The Coachella Valley Regional Plan for College and Career Success,Education Equity,One Future Coachella Valley ,"In April 2017, a Design Team comprised of representatives of all three K-12 districts, COD, CSUSB, UCR and business began work, with support from Ford Next Generation Learning (Ford NGL) and Alignment USA, to vision and design a framework for “Regional Plan 2.0” – the renewal of the original Coachella Valley Regional Plan for College and Career Success written and adopted in 2012. The team agreed upon a six strand framework, building upon accomplishments achieved through the original plan.In September 2017, seventy stakeholders representing K-20 education, foundations, philanthropy, business, government, nonprofits and students, gathered to begin writing Regional Plan 2.0. Four Strand Writing Teams were formed and an initial draft of plan sections were written between October 2017 and May 2018. Draft versions were reviewed and edited by all teams and partners, and a refined plan was adopted by the Regional Plan Oversight Team in November 2019. In January 2020, all partners affirmed that Technology Access and Proficiency must be an overarching focus and a task force was launched to address three goal areas: 1) Universal wifi access/take-home devices for all students; 2) Technology proficiency for all faculty; 3) CS/Coding Programs at every school.",Coachella Valley - nine cities and unincorporated Riverside County ,"Academic / colleges or universities, Large businesses, Small businesses, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Hospitals, Community clinics, Other health providers, Media (general market), Media (ethnic or community-specific media), Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Native Hawaiian / Pacific Islander communities, Low-income residents, Undocumented individuals and families, Youth/Students",,Jacqui Tricco,jacqui@onefuturecv.org,https://www.onefuturecv.org/
Uplift San Bernardino,Inclusive Econ and Workforce Devt,Uplift San Bernardino ,"Uplift San Bernardino’s framework for change is built on three primary strategies. Within these strategies are a variety of initiatives that all align to impact our goal of building a generation of successful adults who are committed to growing roots in San Bernardino. Many of these initiatives are currently in the development stages, but as they are defined links to more information will be added here.",City of San Bernardino and unincorporated community of Muscoy,"Academic / colleges or universities, Large businesses, Small businesses, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Local, Hospitals, Philanthropy - national funder, Philanthropy - local funder, Teacher Union","Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Native Hawaiian / Pacific Islander communities, Home owners, LGBTQ+ communities, Low-income residents, People with disabilities, Renters, Small business owners, Undocumented individuals and families, Unemployed/underemployed, Women, Youth/Students",,Ginger Ontiveros,ginger.ontiveros@sbcusd.k12.ca.us,https://upliftsb.org/
IE Children's Cabinet,Education Equity,Inland Empire Community Foundation  ,"To support children, youth and families to improve the ability to advance health and racial equity in our communities.",San Bernardino and Riverside County,"Academic / colleges or universities, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - State, Govt agency - Local, Hospitals, Community clinics, Other health providers, Philanthropy - local funder","Black communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, Faith-based communities (please specify under ""Other"" below), Groups with health vulnerabilities (please specify under ""Other"" below), Low-income residents, People with disabilities, Renters, Small business owners, Undocumented individuals and families, Unemployed/underemployed, Union workers, Veterans, Women, Youth/Students, Children","Census outreach, Nonprofit Capacity Building ",Michelle Decker,mdecker@iegives.org,
Project Impact,Inclusive Econ and Workforce Devt,"Cal State University, San Bernardino","Project Impact is a community outreach program of the College of Education at California State University, San Bernardino. This project is aimed at increasing the teacher pipeline in California, while at the same time working to help close academic achievement gaps in the K-12 settings through intentional recruitment, training, and deployment of minority male teachers into the California classrooms.",San Bernardino and Riverside County,Academic / colleges or universities,Men of color,,Marcus Reynolds,marcus.reynolds@csusb.edu,https://www.csusb.edu/project-impact
Inland So Cal Housing Collective,Housing Equity,,The Inland SoCal Housing Collective is a group of volunteers from different sectors that convenes monthly to discuss and take action on the advancement of housing for all families in the Inland SoCal Region.,Inland Southern California,"Academic / colleges or universities, Large businesses, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - State, Govt agency - Local, Hospitals, Philanthropy - state funder, Philanthropy - local funder","Homelessness/Housing insecurity, Home owners, Low-income residents, Renters, Unemployed/underemployed, Veterans",Housing assistance,Melanie Steele,Melanie.Steele@NHSIE.org,https://sites.google.com/view/ischcollective/home
Inland Southern California Climate Collaborative (ISC3),Transportation and Environment,Climate Resolve,"ISC3 is a diverse, cross-sectoral network of agencies, organizations, companies, and institutions working together to advance equitable solutions to create a resilient and thriving Inland Southern California in the face of climate change.","San Bernardino, Riverside, and Imperial Counties","Academic / colleges or universities, Small businesses, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Local, Regional Government (Counties, COGs)","Groups with health vulnerabilities (please specify under ""Other"" below), Low-income residents, Those disproportionately impact by climate change. (See CalEnviroScreen)","Education, resource sharing, connections to state grant funding",Bryn Lindblad,blindblad@climateresolve.org,http://iscclimatecollaborative.org/
SoCal Soilscape Asset Mapping,Inclusive Econ and Workforce Devt,University of Southern California ,The SoilSCAPE (Soil moisture Sensing Controller and oPtimal Estimator) project aims to address the need for information on soil moisture by providing: Local scale estimates of soil moisture at high (<1 hour) temporal resolution as well as validation data with which to evaluate the accuracy of soil moisture estimates from remote sensing data at the regional (airborne) and national (spaceborne) scales.,Southern California ,"Academic / colleges or universities, Large businesses, Small businesses, Nonprofits - service providers, Govt agency - Local","Black communities, American Indian / Native / Indigenous communities, Hispanic / Latino / Latinx communities, Low-income residents, Undocumented individuals and families, Unemployed/underemployed, Farmers and other current or potential land-stewards",Farmer Training/Green Workforce development,Susan Phillips,susan_phillips@pitzer.edu,
Agricultores Del Valle: New Farmer Training Program,Inclusive Econ and Workforce Devt,Huerta Del Valle,"6 month training program features engaging themes and different instruction methods, to provide participants with a well rounded exposure to theory, practice, and community building.",San Bernardino County and Riverside County ,"Academic / colleges or universities, Large businesses, Small businesses, Labor unions / worker centers, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Hospitals, Media (general market), Media (ethnic or community-specific media), Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Native Hawaiian / Pacific Islander communities, Elders / seniors, Groups with health vulnerabilities (please specify under ""Other"" below), Home owners, LGBTQ+ communities, Low-income residents, People with disabilities, Small business owners, Undocumented individuals and families, Unemployed/underemployed, Veterans, Women, Youth/Students, We serve all including folks with health issues, many use food and farming to heal","Mutual aid, Economic relief",Alternative: Necils Lopez,nlopez@huertadelvalle.org,https://www.huertadelvalle.org/farmer-training-program.html
Science to Policy ,Inclusive Econ and Workforce Devt,UC Riverside,"Science to Policy (S2P) at the University of California, Riverside, is founded on the idea that scientists can and should play a critical role in public policy. By hosting and supporting a number of professional development opportunities on and off campus, S2P's vision is to empower UCR STEM graduate students to participate in science policy by providing a suite of experiential opportunities to learn from public policy experts. Participating graduate students engage with practitioners at the highest level to understand local, state, and federal policymaking; to strategize the value of scientific input in policymaking; and to garner professional development critical to careers in public policy.","San Bernardino County and Riverside County, surrounding regions","Academic / colleges or universities, Govt agency - Federal, Govt agency - State, Govt agency - Local, Philanthropy - local funder",No priority populations (general),Allowing UCR STEM graduate students to participate in science policy,Doug Brown,douglasb@ucr.edu,https://sciencetopolicy.ucr.edu
COVID Narrative Hub ,Civic Infrastructure,IE United,"The IE COVID Recovery initiative encourages residents and leaders of San Bernardino and Riverside Counties to execute a responsible and community-driven approach to COVID recovery. For too long we have been presented with a false choice between economy or public health, between keeping our doors open or keeping our loved ones safe. The truth, however, is that this was never a choice at all. The reality is that we can keep our families and neighbors safe, as well as keep our businesses afloat, and drive down our COVID case numbers. We are here to demand our elected officials to work and create solutions that keep our communities healthy, our front-line workers protected, our businesses supported, and our region COVID-free.",San Bernardino County and Riverside County ,"Academic / colleges or universities, Labor unions / worker centers, Nonprofits - advocates / base builders, Nonprofits - service providers, Media (general market), Media (ethnic or community-specific media)","Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Native Hawaiian / Pacific Islander communities, Low-income residents, Undocumented individuals and families","Voter engagement, Census outreach",Michael Gomez Daly,michael@ieunited.org ,https://iecovidrecovery.org/
Redistricting Hub,Civic Infrastructure,IE United,,San Bernardino County and Riverside County ,"Academic / colleges or universities, Labor unions / worker centers, Nonprofits - advocates / base builders, Nonprofits - service providers, Media (general market), Media (ethnic or community-specific media)","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Michael Gomez Daly,michael@ieunited.org ,https://iecovidrecovery.org/
UndocuHealth Ambassadors Program,Health Equity,Marlene Chavez Martinez,"The program will train and equip a team of 10 immigrant individuals from San Bernardino and Riverside Counties to advocate for preventative health care that is accessible to all. The goal of the project is to increase the use of available medical programs and clear any uncertainties about public charge, I.C.E. in hospitals, and other misinformation that may deter the undocumented population from seeking medical treatment.",County,Academic / colleges or universities,"Hispanic / Latino / Latinx communities, Low-income residents, Undocumented individuals and families, Women, Youth/Students","COVID testing, Other health services, Mutual aid",Marlene Chavez Martinez,,
Undocumented Mentorship Academy ,Education Equity,Inland Empire Immigrant Youth Coalition ,"The Inland Empire - Immigrant Youth Coalition (IE-IYC) is a grassroots undocumented youth-led organization founded in 2010. We are committed to creating a safe space for immigrant youth regardless of legal status, race, gender, sexuality, educational background and other intersections that are crucial to the undocumented identity.",San Bernardino County and Riverside County,"Academic / colleges or universities, Govt agency - Local","LGBTQ+ communities, Low-income residents, Undocumented individuals and families, Youth/Students",Mutual aid,Najayra Valdovinos,najayravaldovinossoto.ieiyc@gmail.com,
Inland Empire Media Roundtable,Civic Infrastructure,Voice Media Ventures / Tzunu Strategies,"The mission of the IE Media Roundtable is to coordinate, support, and grow investments in media enterprises, in order to more effectively serve the region’s residents—including the nearly 70 percent who are from Black, Indigenous, Latinx, Asian American, Pacific Islander, and other communities of color. The Roundtable will advance this mission through economies of scale and innovation, with a focus on signature events and coordinated strategies on news coverage, fundraising, and advocacy.",San Bernardino County and Riverside County,Media (general market),"Black, Indigenous, Latinx, Asian American, Pacific Islander, and other communities of color",,Armando Carmona / Marla Matime,armando@tzunu.com / marla@voicemediaventures.com,https://iemedia.org/
Generation Go/Vision2Succeed,Inclusive Econ and Workforce Devt,San Bernardino County Workforce Development Department,"GenerationGo! is the result of a partnership between San Bernardino Valley College, the San Bernardino Workforce Development Department, the San Bernardino County Superintendent of Schools' Alliance for Education, and school districts throughout San Bernardino County. It is a program that prepares students to enter the workforce through career exploration and planning, interview preparation, employment acquisition strategies, as well as communication and workplace skills development.",San Bernardino County,"San Bernardino Valley College,  San Bernardino Workforce Development Department, San Bernardino County Superintendent of Schools' Alliance for Education",,,Monique Carter ,mcarter@ed.sbcounty.gov,https://wp.sbcounty.gov/workforce/youth/
MARS Career Promise,Inclusive Econ and Workforce Devt,March Joint Powers Authority,"MARS is a regional economic development initiative created by the March Joint Powers Authority, an AMP SoCal partner, to align attracting Aerospace & Defense primes into the Inland Empire with its mission to develop a 3,300-acre regional jobs center. With more than 600 Aerospace & Defense suppliers in the Inland Empire region, the MARS Careers Promise Program introduces an innovative career training opportunity that aligns industry based workforce needs with STEM and CTE training within middle schools and high schools. ",Riverside County,"American Aerospace Technical Academy, Val Verde Unified School District, AMRO Fabricating Corporation",,,Danielle Wheeler,MARS@marchjpa.com,https://www.facebook.com/MARSatMarch
Job Driven SlingShot Initiative,Inclusive Econ and Workforce Devt,San Bernardino County Workforce Development Board and the Riverside Workforce Development Board,"Together the San Bernardino County Workforce Development Board and the Riverside Workforce Development Board formed the Inland Empire Regional Collaborative (IERC). The IERC’s Job Driven SlingShot Initiative focuses on creating large-scale, regional change that significantly improves economic outcomes and increases income mobility for its residents. The IERC effectively engages the business community and directs training resources based on employer feedback and regional demand.",San Bernardino County and Riverside County,,,,Diana Fox,diana@we-reachout.org,https://we-reachout.org/
San Manuel Gateway College,Inclusive Econ and Workforce Devt,Loma Linda University,"San Manuel Gateway College (SMGC) was established in 2016 with a mission to provide the Inland Empire with entry-level job training and educational opportunities in the medical field. In order to build individual and community capacity for the purpose of creating workforce development, we have partnered with the San Manuel Tribe of Mission Indians to accomplish this goal. SMGC is an extension of the outreach mission of Loma Linda University to the underserved population of the Inland Empire. We are providing opportunities to be a part of the growing medical services field in the Inland Empire.",San Bernardino County and Riverside County,San Manuel Band of Mission Indians ,,,"Arwyn R. Wild, M.A. ",sanmanuelgatewaycollege@llu.edu,https://sanmanuelgatewaycollege.llu.edu/
Consortium for Excellence in Logistics,Inclusive Econ and Workforce Devt,Inland Empire Economic Partnership ,"Aims to position the region as a leader in supply chain and logistics innovation, improving by an order of magnitude the economic, environmental and societal efficiency and sustainability of the way physical objects are moved, deployed, realized, supplied, designed, and used",San Bernardino County and Riverside County,,,,Paul Granillo,pgranillo@ieep.com,http://ieep.com/
Guided Pathways,Inclusive Econ and Workforce Devt,Growing Inland Achievement,"To complement and support Guided Pathways work already taking place across the state of California, Growing Inland Achievement, with funding from College Futures Foundation, is coordinating and facilitating Guided Pathways support for all Community Colleges in the Inland Empire. A 5-year strategic implementation plan for region-wide adoption of guided pathways, plus testing an intermediary solution for student case management to foster timely advising and degree completion",San Bernardino County and Riverside County,,,,Ida Hermosillo,ida@inlandempiregia.org ,https://inlandempiregia.org/
"Cybersecurity Center, Cal State San Bernardino (also Theme 1):",Inclusive Econ and Workforce Devt,Cal State San Bernardino ,"From engaging with the community on complex cybersecurity issues to participating in innovative, exciting projects, students at California State University, San Bernardino (CSUSB) not only receive a nationally renowned cybersecurity education but also access to one of the most recognized centers for cybersecurity education, the Cybersecurity Center (CSC). The Center is responsible for grant sponsored cybersecurity programs at CSUSB.","San Bernardino County and Riverside County, Southern California",,,,Tony Coulson,cyber@csusb.edu,https://www.csusb.edu/cybersecurity
EPIC SBDC,Inclusive Econ and Workforce Devt,UC Riverside,"UC Riverside’s EPIC SBDC provides individualized support to early stage tech entrepreneurs and companies in the Inland Empire to grow their businesses at no cost. Services include specialized consulting, training programs and workshops, access to capital and SBIR/STTR assistance. EPIC SBDC has a pool of seasoned professionals who serve as Entrepreneurs in Residence to provide business consulting to help you launch or grow you company.","San Bernardino County and Riverside County, Southern California",,,,Scott Brovsky,EPICSBDC@ucr.edu,not working
ExCITE,Inclusive Econ and Workforce Devt,UC Riverside,"ExCITE is Riverside’s startup incubator for high tech, high growth science and technology startups by providing co-working space, networking, workshops, and access to mentors. Located in Downtown Riverside, ExCITE is a partnership between the City, the County, and UCR. This unique partnership brings together campus and community resources to position entrepreneurs for success.","San Bernardino County and Riverside County, Southern California",,,,Jennifer Yturralde,jenyt@ucr.edu,https://exciteriverside.org/
Esri Startup Program,Inclusive Econ and Workforce Devt,Esri,"The Esri Startup Program is a global, up to three-year program that helps early stage startups build mapping and location intelligence into their products and businesses. The program provides access to Esri software, development tools, ready-to-use content, training, support, and co-marketing opportunities. If you’re a startup looking to build on ArcGIS, the world’s leading GIS platform, we want to hear from you.",International,,,,Martin Copping,mcopping@esri.com,https://www.esri.com/en-us/about/esri-partner-network/our-partners/esri-startup-program
California Air Resources Board (CARB) Ecosystem,Inclusive Econ and Workforce Devt,California Air Resources Board (CARB),"Effort to build an innovation cluster around air quality and emissions control, leveraging the region’s assets including the UCR Center for Environmental Research & Technology (CE-CERT) with $29 million in active awards, and a $368 million investment to build the Southern CA headquarters of the California Air Resources Board (CARB), opening in Spring 2021",,,,,Robert Field and Cindy Roth ,"RFIELD@rivco.org, croth@riverside-chamber.com",https://ww2.arb.ca.gov/southern-california-headquarters
OASIS,Inclusive Econ and Workforce Devt,Office of Research and Economic Development at UC Riverside,"Opportunities to Advance Sustainability, Innovation, and Social inclusion. Aims to better connect and leverage R&D, workforce development, and community engagement in the following areas: agriculture technology, natural resource management (including the future of the Salton Sea), sustainability, and clean logistics","San Bernardino County and Riverside County, Southern California",,,,Rodolfo Torres,VCRED@ucr.edu,https://research.ucr.edu/
Dynamic Mobility Management Systems Consortium (DyMMS):,Inclusive Econ and Workforce Devt,CE-CERT at UC Riverside,"Aims to revolutionize operation of vehicle and transportation systems by leveraging innovations in automation, distributed computing, connectivity, electrification and shared mobility",San Bernardino County and Riverside County,,,,Matt Barth,barth@ece.ucr.edu,https://www.cert.ucr.edu/
Inland Empire Capacity Builders Network,Inclusive Econ and Workforce Devt,Inland Empire Capacity Network,The IECBN is a coalition of capacity-building organizations that provide an array of services to nonprofit and community-benefit organizations (CBOs) serving the Inland Empire. Members work together to increase local resources CBOs need to advance their missions and serve the region’s population of more than 4.5 million residents.,San Bernardino County and Riverside County,"Nonprofits - advocates / base builders, Nonprofits - service providers,, Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Debbie Cannon,Debbie@AcademyGo.com,https://ienonprofits.com/networks/inland-empire-capacity-builders-network/
IE Funders Alliance ,Inclusive Econ and Workforce Devt,IE Funders Alliance ,"The Funders Alliance is a collaborative network of organizations with significant formal grantmaking activities in the Inland Empire region of Riverside and San Bernardino Counties that have joined together to increase communication, coordination, and collaboration.",San Bernardino County and Riverside County,"Academic / colleges or universities, Large businesses, Small businesses, Nonprofits - advocates / base builders, Nonprofits - service providers, Govt agency - Federal, Govt agency - State, Govt agency - Local, Hospitals, Community clinics, Other health providers, Media (general market), Media (ethnic or community-specific media), Philanthropy - national funder, Philanthropy - state funder, Philanthropy - local funder","No priority populations (general), Black communities, American Indian / Native / Indigenous communities, Asian American communities, Hispanic / Latino / Latinx communities, Homelessness/Housing insecurity, Native Hawaiian / Pacific Islander communities, LGBTQ+ communities, Low-income residents, People with disabilities, Undocumented individuals and families, Youth/Students",,Celia Cudiamat,ccudiamat@iegives.org,https://www.iefunders.org
